,fecha,cantidad
0,9/27/2021,95
1,5/4/2022,37
2,5/11/2022,58
3,5/6/2022,61
4,6/23/2021,73
5,9/21/2021,4
6,11/13/2021,72
7,3/18/2022,62
8,5/26/2022,32
9,6/13/2022,6
10,9/17/2021,52
11,1/8/2022,71
12,3/18/2022,9
13,2/27/2022,91
14,1/28/2022,83
15,7/12/2021,23
16,4/26/2022,95
17,11/8/2021,25
18,4/14/2022,46
19,8/17/2021,93
20,6/5/2022,41
21,5/7/2022,73
22,2/26/2022,57
23,3/16/2022,33
24,8/26/2021,24
25,8/15/2021,54
26,10/13/2021,39
27,12/16/2021,57
28,9/13/2021,8
29,12/14/2021,70
30,9/26/2021,12
31,3/21/2022,79
32,6/10/2022,22
33,11/2/2021,1
34,10/8/2021,28
35,6/8/2022,99
36,11/15/2021,29
37,10/28/2021,98
38,5/14/2022,91
39,11/15/2021,80
40,10/28/2021,7
41,1/9/2022,95
42,2/6/2022,61
43,6/29/2021,100
44,7/28/2021,47
45,8/29/2021,85
46,10/30/2021,65
47,7/7/2021,25
48,11/23/2021,12
49,2/1/2022,36
50,4/9/2022,79
51,4/29/2022,84
52,1/6/2022,4
53,2/14/2022,16
54,7/3/2021,81
55,2/16/2022,80
56,7/31/2021,100
57,12/27/2021,88
58,9/10/2021,39
59,7/5/2021,51
60,10/20/2021,32
61,6/17/2022,14
62,4/2/2022,90
63,8/13/2021,2
64,8/9/2021,57
65,7/22/2021,44
66,11/22/2021,84
67,11/16/2021,7
68,12/5/2021,67
69,5/19/2022,73
70,11/30/2021,77
71,4/8/2022,39
72,5/28/2022,41
73,8/7/2021,92
74,8/13/2021,27
75,3/14/2022,56
76,3/7/2022,56
77,8/2/2021,42
78,3/21/2022,93
79,9/29/2021,32
80,3/19/2022,84
81,9/6/2021,14
82,4/9/2022,92
83,7/24/2021,27
84,2/4/2022,30
85,10/8/2021,14
86,10/14/2021,22
87,3/10/2022,11
88,10/20/2021,50
89,6/1/2022,27
90,7/24/2021,26
91,11/12/2021,59
92,6/1/2022,59
93,1/12/2022,43
94,9/22/2021,54
95,2/12/2022,75
96,4/12/2022,14
97,8/4/2021,3
98,4/16/2022,87
99,8/2/2021,14
100,6/16/2022,3
101,4/4/2022,16
102,5/14/2022,72
103,7/25/2021,75
104,8/11/2021,56
105,6/4/2022,14
106,4/27/2022,81
107,12/31/2021,13
108,1/31/2022,88
109,10/16/2021,33
110,3/28/2022,86
111,3/18/2022,42
112,3/19/2022,62
113,10/23/2021,17
114,6/16/2022,53
115,9/11/2021,87
116,12/1/2021,78
117,4/24/2022,89
118,1/23/2022,68
119,12/9/2021,66
120,10/14/2021,18
121,9/26/2021,88
122,2/7/2022,19
123,6/28/2021,10
124,12/23/2021,56
125,8/27/2021,70
126,12/11/2021,54
127,2/10/2022,28
128,9/23/2021,89
129,11/24/2021,36
130,7/14/2021,72
131,1/26/2022,19
132,9/19/2021,86
133,5/24/2022,52
134,10/3/2021,70
135,8/11/2021,68
136,1/17/2022,95
137,2/10/2022,33
138,10/4/2021,48
139,7/26/2021,47
140,7/15/2021,21
141,12/25/2021,17
142,1/22/2022,70
143,2/5/2022,89
144,4/25/2022,18
145,6/19/2022,46
146,5/21/2022,11
147,1/6/2022,23
148,6/19/2022,66
149,5/9/2022,34
150,10/14/2021,18
151,11/14/2021,87
152,10/9/2021,36
153,10/16/2021,95
154,2/17/2022,56
155,11/14/2021,16
156,7/21/2021,90
157,1/28/2022,57
158,5/15/2022,51
159,8/4/2021,17
160,1/19/2022,92
161,4/28/2022,96
162,6/16/2022,94
163,8/22/2021,56
164,10/25/2021,43
165,4/13/2022,19
166,1/4/2022,9
167,8/21/2021,27
168,11/5/2021,84
169,9/8/2021,48
170,8/16/2021,52
171,11/23/2021,83
172,7/6/2021,12
173,1/2/2022,75
174,7/5/2021,94
175,2/23/2022,62
176,7/30/2021,47
177,11/10/2021,10
178,8/10/2021,97
179,7/13/2021,66
180,5/5/2022,83
181,2/20/2022,62
182,11/11/2021,26
183,1/21/2022,64
184,7/2/2021,70
185,6/15/2022,80
186,10/25/2021,99
187,3/3/2022,1
188,11/25/2021,40
189,6/2/2022,8
190,6/1/2022,59
191,7/9/2021,21
192,9/25/2021,47
193,9/9/2021,5
194,1/26/2022,55
195,2/10/2022,48
196,3/2/2022,100
197,9/22/2021,69
198,1/7/2022,2
199,8/12/2021,30
200,4/28/2022,64
201,2/23/2022,33
202,12/10/2021,44
203,10/28/2021,12
204,3/21/2022,42
205,2/8/2022,51
206,10/31/2021,4
207,5/12/2022,45
208,12/23/2021,31
209,8/12/2021,18
210,12/7/2021,69
211,4/17/2022,21
212,11/15/2021,39
213,6/12/2022,40
214,2/20/2022,84
215,11/8/2021,99
216,5/11/2022,57
217,11/11/2021,86
218,2/7/2022,52
219,9/9/2021,1
220,4/5/2022,68
221,1/22/2022,79
222,8/5/2021,19
223,3/18/2022,95
224,5/3/2022,6
225,6/18/2022,78
226,2/1/2022,32
227,4/28/2022,62
228,9/28/2021,7
229,8/28/2021,82
230,9/24/2021,94
231,6/18/2022,4
232,11/25/2021,58
233,4/25/2022,16
234,8/12/2021,4
235,4/15/2022,25
236,6/13/2022,30
237,5/23/2022,32
238,1/23/2022,85
239,1/5/2022,95
240,10/18/2021,23
241,1/18/2022,18
242,9/10/2021,82
243,3/13/2022,14
244,10/17/2021,90
245,4/16/2022,94
246,4/5/2022,45
247,1/25/2022,49
248,12/13/2021,47
249,8/8/2021,79
250,2/12/2022,46
251,3/3/2022,46
252,1/17/2022,95
253,12/10/2021,75
254,11/22/2021,97
255,12/11/2021,61
256,10/23/2021,94
257,7/18/2021,8
258,10/21/2021,23
259,9/7/2021,43
260,12/3/2021,79
261,5/13/2022,27
262,4/5/2022,39
263,4/2/2022,69
264,2/6/2022,71
265,7/14/2021,67
266,2/25/2022,77
267,10/3/2021,28
268,6/1/2022,77
269,4/27/2022,34
270,10/9/2021,27
271,7/30/2021,56
272,12/7/2021,56
273,12/18/2021,15
274,2/16/2022,100
275,4/10/2022,13
276,5/4/2022,56
277,8/27/2021,38
278,12/19/2021,44
279,2/9/2022,39
280,3/20/2022,25
281,3/18/2022,15
282,4/26/2022,33
283,6/28/2021,100
284,7/28/2021,99
285,5/6/2022,25
286,8/7/2021,21
287,12/31/2021,11
288,10/14/2021,1
289,3/6/2022,32
290,10/21/2021,46
291,7/26/2021,91
292,11/29/2021,97
293,4/23/2022,37
294,6/7/2022,63
295,8/11/2021,26
296,7/20/2021,24
297,8/20/2021,27
298,11/17/2021,36
299,2/10/2022,71
300,6/2/2022,80
301,3/8/2022,84
302,5/5/2022,69
303,9/16/2021,52
304,6/15/2022,58
305,2/12/2022,37
306,7/25/2021,76
307,9/17/2021,70
308,12/5/2021,59
309,4/28/2022,30
310,9/11/2021,40
311,8/27/2021,67
312,7/26/2021,84
313,9/22/2021,100
314,4/23/2022,92
315,10/21/2021,80
316,11/5/2021,45
317,4/21/2022,16
318,2/22/2022,40
319,6/20/2022,100
320,4/12/2022,9
321,4/4/2022,28
322,5/6/2022,93
323,1/12/2022,69
324,9/23/2021,33
325,3/13/2022,32
326,3/31/2022,5
327,4/20/2022,27
328,9/9/2021,72
329,2/7/2022,76
330,9/29/2021,51
331,10/31/2021,1
332,1/23/2022,98
333,11/5/2021,42
334,2/8/2022,17
335,7/2/2021,85
336,11/16/2021,13
337,6/14/2022,46
338,8/30/2021,82
339,8/29/2021,50
340,5/1/2022,12
341,2/16/2022,80
342,6/13/2022,39
343,2/17/2022,100
344,12/31/2021,94
345,8/11/2021,49
346,11/14/2021,99
347,5/15/2022,48
348,6/28/2021,89
349,9/22/2021,32
350,8/19/2021,19
351,5/18/2022,70
352,6/12/2022,42
353,4/26/2022,63
354,1/26/2022,39
355,12/10/2021,71
356,5/9/2022,73
357,3/1/2022,95
358,1/20/2022,80
